x,y,psi,v,cte,epsi,delta,a
6.66067,-0.0987431,-0.00994178,33.4036,-1.72638,-0.0654223,0.00846114,0.638085
6.66147,0.0800384,0.0260326,33.4059,-1.54471,-0.0651894,0.00753657,0.637272
6.66164,0.0915322,0.0440633,33.4074,-1.20472,-0.0758575,0.0200635,0.636794
6.66199,0.0815344,0.0537149,33.4084,-0.840467,-0.0799701,0.0294541,0.63685
6.65847,0.217008,0.0746259,33.4082,-0.339597,-0.0621474,0.0236647,0.636963
6.65353,0.318466,0.0839084,33.4069,0.0797696,-0.0428099,0.0142072,0.636999
6.65659,0.255917,0.0560485,33.4066,0.362785,0.035553,0.00231242,0.636456
6.66035,0.153681,0.0353976,33.4073,0.269472,-0.00223054,0.00278808,0.635518
6.6625,0.0250177,0.00387553,33.4079,0.268005,-0.0405429,-0.00105638,0.63352
6.66253,0.0301641,-0.0170855,33.4078,0.335699,-0.0544363,-0.018696,0.629893
6.66237,-0.0114284,-0.0566925,33.4061,0.429256,-0.0682076,-0.0434965,0.625113
6.6582,-0.20219,-0.112607,33.4025,0.466026,-0.0894391,-0.0565469,0.623614
6.62693,-0.610096,-0.200497,33.3895,0.41639,-0.126361,-0.0588864,0.628554
6.62409,-0.609734,-0.243643,33.3737,0.42158,-0.082977,-0.0935173,0.613909
6.61853,-0.634473,-0.297277,33.3608,-0.393615,-0.204067,-0.132377,0.626235
6.55882,-1.00277,-0.375804,33.3268,-0.717991,-0.265607,-0.133251,0.647183
6.45766,-1.40732,-0.457416,33.2566,-1.1563,-0.356011,-0.129359,0.674477
6.44629,-1.4136,-0.480635,33.2121,-1.47564,-0.356477,-0.146866,0.697138
6.44924,-1.37108,-0.493522,33.1783,-1.6852,-0.298781,-0.164598,0.718189
6.39382,-1.54915,-0.510013,33.1386,-1.90098,-0.268272,-0.146687,0.737053
6.32261,-1.72343,-0.506469,33.0491,-2.28602,-0.254928,-0.112604,0.77535
6.36576,-1.53758,-0.455518,32.9946,-2.64027,-0.238267,-0.104162,0.799291
6.45084,-1.1867,-0.372927,32.9931,-3.0072,-0.218676,-0.0988425,0.801726
6.47134,-1.09962,-0.321363,33.0075,-3.23227,-0.235477,-0.0722099,0.795983
6.484,-1.04464,-0.261067,33.0182,-3.24945,-0.233904,-0.0328956,0.791829
6.53708,-0.766728,-0.173851,33.0593,-3.18133,-0.23943,-0.0102467,0.775178
6.59005,-0.351098,-0.0838756,33.1185,-2.89682,-0.212931,-0.00837646,0.751633
6.613,-0.109736,-0.0117297,33.1816,-2.3425,-0.173868,0.00902675,0.726575
6.62258,-0.0898817,0.0243349,33.2249,-1.84021,-0.170086,0.034701,0.709711
6.63144,0.0970404,0.0760051,33.267,-1.0014,-0.126533,0.044862,0.693586
